"Elektrièna energija (GWh) po: POSTAVKA , LETO"

" ";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Konèna raba-SKUPAJ";9582;9971;10197;10432;10664;11091;11823;12204;12679;12872;13298;13405;12945;11422;12063;12612;12540;12587;12559;12895;13121
"Konèna raba-energetski sektor";168;153;157;161;142;164;134;138;132;129;133;142;139;130;118;112;112;108;100;107;95
"Konèna raba-predelovalne dejavnosti in gradbeništvo";4921;4853;5055;5099;5490;5648;5790;6543;6710;7172;7440;7468;6311;4966;5487;5864;5922;5878;6057;6199;6234
"Konèna raba-promet";258;264;268;271;265;256;172;179;189;197;198;195;196;156;173;164;159;154;136;152;166
"Konèna raba-gospodinjstva";2594;2637;2658;2692;2601;2675;2704;3008;3012;2951;3055;3021;3182;3137;3219;3211;3179;3229;3125;3205;3260
"Konèna raba-drugi porabniki";1641;2028;2059;2151;2166;2348;3023;2335;2637;2423;2472;2579;3117;3033;3066;3261;3168;3218;3141;3232;3366

"Vir: Statistièni urad Republike Slovenije. "

"Povezane vsebine:  "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8167 target=_blank) Metodološka pojasnila"

"Od leta 2002 vkljuèuje žiènice in železniški promet. "

