"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,595,179"
"1991","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,640,089"
"1992","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,624,132"
"1993","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,626,369"
"1994","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,666,930"
"1995","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,743,612"
"1996","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,845,929"
"1997","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,857,093"
"1998","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,922,731"
"1999","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,954,908"
"2000","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,035,750"
"2001","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,119,159"
"2002","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,144,281"
"2003","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,235,074"
"2004","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,302,815"
"2005","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,325,804"
"2006","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,371,443"
"2007","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,383,776"
"2008","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,387,037"
"2009","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,222,083"
"2010","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,366,093"
"2011","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,297,335"
"2012","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,296,273"
"2013","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,268,484"
"2014","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,190,773"
"2015","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total gross production","3,234,341"
"1990","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,760,128"
"1991","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,801,462"
"1992","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,803,451"
"1993","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,794,781"
"1994","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,827,203"
"1995","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,880,260"
"1996","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,943,057"
"1997","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","1,959,879"
"1998","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,008,324"
"1999","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,046,385"
"2000","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,119,382"
"2001","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,167,702"
"2002","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,204,192"
"2003","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,275,249"
"2004","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,332,405"
"2005","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,340,557"
"2006","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,381,582"
"2007","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,393,519"
"2008","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,409,632"
"2009","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,288,007"
"2010","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,393,431"
"2011","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,332,877"
"2012","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,334,111"
"2013","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,323,687"
"2014","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,265,437"
"2015","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total gross production","2,298,136"
"1990","Belgium","Gigawatt-hour","Electrical energy","Total gross production","70,923"
"1991","Belgium","Gigawatt-hour","Electrical energy","Total gross production","71,936"
"1992","Belgium","Gigawatt-hour","Electrical energy","Total gross production","72,225"
"1993","Belgium","Gigawatt-hour","Electrical energy","Total gross production","70,834"
"1994","Belgium","Gigawatt-hour","Electrical energy","Total gross production","72,179"
"1995","Belgium","Gigawatt-hour","Electrical energy","Total gross production","74,408"
"1996","Belgium","Gigawatt-hour","Electrical energy","Total gross production","76,099"
"1997","Belgium","Gigawatt-hour","Electrical energy","Total gross production","78,833"
"1998","Belgium","Gigawatt-hour","Electrical energy","Total gross production","83,183"
"1999","Belgium","Gigawatt-hour","Electrical energy","Total gross production","84,514"
"2000","Belgium","Gigawatt-hour","Electrical energy","Total gross production","84,012"
"2001","Belgium","Gigawatt-hour","Electrical energy","Total gross production","79,821"
"2002","Belgium","Gigawatt-hour","Electrical energy","Total gross production","82,069"
"2003","Belgium","Gigawatt-hour","Electrical energy","Total gross production","84,630"
"2004","Belgium","Gigawatt-hour","Electrical energy","Total gross production","85,643"
"2005","Belgium","Gigawatt-hour","Electrical energy","Total gross production","87,025"
"2006","Belgium","Gigawatt-hour","Electrical energy","Total gross production","85,617"
"2007","Belgium","Gigawatt-hour","Electrical energy","Total gross production","88,822"
"2008","Belgium","Gigawatt-hour","Electrical energy","Total gross production","84,930"
"2009","Belgium","Gigawatt-hour","Electrical energy","Total gross production","91,235"
"2010","Belgium","Gigawatt-hour","Electrical energy","Total gross production","95,189"
"2011","Belgium","Gigawatt-hour","Electrical energy","Total gross production","90,241"
"2012","Belgium","Gigawatt-hour","Electrical energy","Total gross production","82,923"
"2013","Belgium","Gigawatt-hour","Electrical energy","Total gross production","83,488"
"2014","Belgium","Gigawatt-hour","Electrical energy","Total gross production","72,672"
"2015","Belgium","Gigawatt-hour","Electrical energy","Total gross production","70,648"
"1990","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","42,141"
"1991","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","40,862"
"1992","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","35,610"
"1993","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","37,997"
"1994","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","38,133"
"1995","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","41,789"
"1996","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","42,716"
"1997","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","42,803"
"1998","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","41,711"
"1999","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","38,248"
"2000","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","40,924"
"2001","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","43,968"
"2002","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","42,679"
"2003","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","42,600"
"2004","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","41,621"
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","44,365"
"2006","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","45,843"
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","43,297"
"2008","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","45,037"
"2009","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","42,964"
"2010","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","46,653"
"2011","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","50,797"
"2012","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","47,329"
"2013","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","43,784"
"2014","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","47,485"
"2015","Bulgaria","Gigawatt-hour","Electrical energy","Total gross production","49,228"
"1990","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","62,559"
"1991","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","60,528"
"1992","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","59,293"
"1993","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","58,881"
"1994","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","58,705"
"1995","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","60,847"
"1996","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","64,257"
"1997","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","64,598"
"1998","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","65,112"
"1999","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","64,694"
"2000","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","73,466"
"2001","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","74,647"
"2002","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","76,348"
"2003","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","83,227"
"2004","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","84,333"
"2005","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","82,578"
"2006","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","84,361"
"2007","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","88,198"
"2008","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","83,647"
"2009","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","82,185"
"2010","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","85,903"
"2011","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","87,477"
"2012","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","87,418"
"2013","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","86,913"
"2014","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","86,148"
"2015","Czech Republic","Gigawatt-hour","Electrical energy","Total gross production","83,892"
