"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,432,699"
"1991","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,476,312"
"1992","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,465,164"
"1993","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,470,179"
"1994","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,510,599"
"1995","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,584,691"
"1996","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,684,518"
"1997","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,697,967"
"1998","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,762,135"
"1999","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,793,252"
"2000","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,873,391"
"2001","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,954,918"
"2002","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","2,976,260"
"2003","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,064,180"
"2004","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,132,763"
"2005","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,153,361"
"2006","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,196,624"
"2007","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,209,638"
"2008","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,216,973"
"2009","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,056,233"
"2010","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,198,324"
"2011","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,128,719"
"2012","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,125,770"
"2013","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,104,311"
"2014","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,031,617"
"2015","European Union (28 countries)","Gigawatt-hour","Electrical energy","Total net production","3,072,391"
"1990","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total net production","1,655,523"
"1991","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total net production","1,697,731"
"1992","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Total net production","1,699,989"
