"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","0"
"1991","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","0"
"1992","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,261"
"1993","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,386"
"1994","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,309"
"1995","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,310"
"1996","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,290"
"1997","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,302"
"1998","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,336"
"1999","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,287"
"2000","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,247"
"2001","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,236"
"2002","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,156"
"2003","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,047"
"2004","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,946"
"2005","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,886"
"2006","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,676"
"2007","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,707"
"2008","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,675"
"2009","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,526"
"2010","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,623"
"2011","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,366"
"2012","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,766"
"2013","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,375"
"2014","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","1,790"
"2015","European Union (28 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","2,293"
"1990","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Used for heat pumps","0"
