"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","747,780"
"1991","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","754,496"
"1992","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","779,238"
"1993","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","803,714"
"1994","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","829,733"
"1995","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","846,968"
"1996","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","847,826"
"1997","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","866,679"
"1998","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","895,195"
"1999","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","966,375"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,125,959"
"2001","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,200,909"
"2002","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","999,780"
"2003","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","980,491"
"2004","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,032,079"
"2005","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","983,749"
"2006","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","989,296"
"2007","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","986,174"
"2008","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,037,408"
"2009","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,049,292"
"2010","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,166,962"
"2011","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","963,099"
"2012","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,050,343"
"2013","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,146,730"
"2014","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,152,483"
"2015","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","1,055,374"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","416,392"
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","438,407"
"1992","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","437,479"
"1993","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","458,554"
"1994","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","531,063"
"1995","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","499,324"
"1996","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","551,115"
"1997","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","511,436"
"1998","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","518,266"
"1999","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","597,815"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","749,135"
"2001","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","825,345"
"2002","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","663,222"
"2003","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","707,794"
"2004","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","712,373"
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","603,592"
"2006","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","657,514"
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","659,001"
"2008","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","692,065"
"2009","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","711,482"
"2010","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","805,766"
"2011","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","636,787"
"2012","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","692,645"
"2013","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","820,646"
"2014","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","806,651"
"2015","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","682,172"
"1990","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1991","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1992","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1993","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1994","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1995","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1996","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1997","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1998","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"1999","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","0"
"2000","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","738"
"2001","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","716"
"2002","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","583"
"2003","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","360"
"2004","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","451"
"2005","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","410"
"2006","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","538"
"2007","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","589"
"2008","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","635"
"2009","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","473"
"2010","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","456"
"2011","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","264"
"2012","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","544"
"2013","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","529"
"2014","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","360"
"2015","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","479"
"1990","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","6,761"
"1991","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","8,788"
"1992","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","7,427"
"1993","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","6,991"
"1994","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","5,285"
"1995","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","8,330"
"1996","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","10,508"
"1997","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","8,317"
"1998","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","9,353"
"1999","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","8,314"
"2000","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","8,072"
"2001","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","5,246"
"2002","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 10+ MW","6,626"
