"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"2007","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,272"
"2008","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,917"
"2009","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,255"
"2010","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,934"
"2011","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,450"
"2012","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,295"
"2013","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9,519"
"2014","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9,661"
"2015","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,522"
"1990","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1991","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1992","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1993","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1994","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1995","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1996","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1997","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1998","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1999","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"2000","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","19"
"2001","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","18"
"2002","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","17"
"2003","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","14"
"2004","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","22"
"2005","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","18"
"2006","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","20"
"2007","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26"
"2008","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26"
"2009","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","23"
"2010","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","22"
"2011","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","17"
"2012","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","24"
"2013","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26"
"2014","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","23"
"2015","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27"
"1990","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1991","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1992","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1993","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1994","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1995","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1996","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1997","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","46"
"1998","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","51"
"1999","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","46"
"2000","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","44"
"2001","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29"
"2002","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","36"
"2003","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","50"
"2004","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","53"
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","72"
"2006","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","70"
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","74"
"2008","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","108"
"2009","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","141"
"2010","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","196"
"2011","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","139"
"2012","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","132"
