"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","3,947"
"1991","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","2,954"
"1992","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","3,931"
"1993","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","4,119"
"1994","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","4,750"
"1995","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","5,195"
"1996","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","5,306"
"1997","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","4,296"
"1998","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","7,803"
"1999","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","14,730"
"2000","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","29,607"
"2001","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","30,386"
"2002","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","26,587"
"2003","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","23,033"
"2004","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","27,866"
