"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","9,342,644"
"1991","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","9,504,320"
"1992","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","9,446,875"
"1993","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","9,454,928"
"1994","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","9,600,948"
"1995","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","9,877,003"
"1996","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","10,245,344"
"1997","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","10,285,535"
"1998","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","10,521,832"
"1999","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","10,637,669"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","10,928,700"
"2001","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,228,972"
"2002","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,319,412"
"2003","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,646,266"
"2004","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,890,134"
"2005","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,972,894"
"2006","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","12,137,195"
"2007","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","12,181,594"
"2008","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","12,193,333"
"2009","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,599,499"
"2010","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","12,117,935"
"2011","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,870,406"
"2012","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,866,583"
"2013","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,766,542"
"2014","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,486,783"
"2015","European Union (28 countries)","Terajoule","Electrical energy","Total gross production","11,643,628"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,336,461"
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,485,263"
"1992","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,492,424"
"1993","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,461,212"
"1994","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,577,931"
"1995","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,768,936"
"1996","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","6,995,005"
"1997","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","7,055,564"
"1998","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","7,229,966"
"1999","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","7,366,986"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","7,629,775"
"2001","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","7,803,727"
"2002","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","7,935,091"
"2003","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,190,896"
"2004","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,396,658"
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,426,005"
"2006","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,573,695"
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,616,668"
"2008","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,674,675"
"2009","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,236,825"
"2010","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,616,352"
"2011","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,398,357"
"2012","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,402,800"
"2013","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,365,273"
"2014","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,155,573"
"2015","Euro area (19 countries)","Terajoule","Electrical energy","Total gross production","8,273,290"
"1990","Belgium","Terajoule","Electrical energy","Total gross production","255,323"
"1991","Belgium","Terajoule","Electrical energy","Total gross production","258,970"
"1992","Belgium","Terajoule","Electrical energy","Total gross production","260,010"
"1993","Belgium","Terajoule","Electrical energy","Total gross production","255,002"
"1994","Belgium","Terajoule","Electrical energy","Total gross production","259,844"
"1995","Belgium","Terajoule","Electrical energy","Total gross production","267,869"
"1996","Belgium","Terajoule","Electrical energy","Total gross production","273,956"
"1997","Belgium","Terajoule","Electrical energy","Total gross production","283,799"
"1998","Belgium","Terajoule","Electrical energy","Total gross production","299,459"
"1999","Belgium","Terajoule","Electrical energy","Total gross production","304,250"
"2000","Belgium","Terajoule","Electrical energy","Total gross production","302,443"
"2001","Belgium","Terajoule","Electrical energy","Total gross production","287,356"
"2002","Belgium","Terajoule","Electrical energy","Total gross production","295,448"
"2003","Belgium","Terajoule","Electrical energy","Total gross production","304,668"
"2004","Belgium","Terajoule","Electrical energy","Total gross production","308,315"
"2005","Belgium","Terajoule","Electrical energy","Total gross production","313,290"
"2006","Belgium","Terajoule","Electrical energy","Total gross production","308,221"
"2007","Belgium","Terajoule","Electrical energy","Total gross production","319,759"
"2008","Belgium","Terajoule","Electrical energy","Total gross production","305,748"
"2009","Belgium","Terajoule","Electrical energy","Total gross production","328,446"
