"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5,408"
"1991","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4,801"
"1992","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5,455"
"1993","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5,766"
"1994","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,162"
"1995","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,756"
"1996","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,963"
"1997","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,308"
"1998","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","11,200"
"1999","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","17,937"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29,792"
"2001","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29,979"
"2002","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","30,612"
"2003","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26,933"
"2004","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27,590"
"2005","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29,271"
"2006","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","31,113"
"2007","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","34,591"
"2008","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","33,145"
"2009","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","34,117"
"2010","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","37,151"
"2011","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","31,587"
"2012","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","35,372"
"2013","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","39,395"
"2014","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","40,646"
"2015","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","36,872"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5,010"
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4,394"
"1992","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5,015"
"1993","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5,239"
"1994","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","6,561"
"1995","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,094"
"1996","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,312"
"1997","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","6,461"
"1998","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,069"
"1999","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","14,544"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","25,807"
"2001","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26,445"
"2002","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27,423"
"2003","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","23,324"
"2004","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","23,901"
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","25,330"
"2006","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27,330"
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29,779"
"2008","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","28,501"
"2009","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29,719"
"2010","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","32,163"
"2011","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26,821"
"2012","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29,862"
"2013","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","34,268"
"2014","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","34,779"
"2015","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","30,678"
"1990","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1991","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1992","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1993","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1994","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1995","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1996","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1997","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1998","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1999","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"2000","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","68"
"2001","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","65"
"2002","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","61"
"2003","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","50"
"2004","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","77"
"2005","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","64"
"2006","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","72"
"2007","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","92"
"2008","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","95"
"2009","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","82"
"2010","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","81"
"2011","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","61"
"2012","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","86"
"2013","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","93"
"2014","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","85"
"2015","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","96"
"1990","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1991","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1992","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1993","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1994","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1995","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1996","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1997","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","165"
"1998","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","185"
"1999","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","165"
"2000","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","160"
"2001","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","104"
"2002","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","131"
"2003","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","181"
"2004","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","190"
"2005","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","260"
"2006","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","253"
"2007","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","268"
"2008","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","388"
"2009","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","506"
"2010","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","705"
"2011","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","501"
"2012","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","476"
"2013","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","627"
"2014","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","865"
"2015","Bulgaria","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","786"
"1990","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1991","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1992","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1993","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1994","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1995","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1996","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1997","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1998","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1999","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"2000","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"2001","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"2002","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"2003","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","263"
"2004","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","309"
"2005","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","368"
"2006","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","358"
"2007","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","559"
"2008","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","529"
"2009","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","509"
"2010","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","595"
"2011","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","429"
"2012","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","423"
"2013","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","517"
"2014","Czech Republic","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","503"
