"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","14,210"
"1991","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","10,636"
"1992","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","14,152"
"1993","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","14,828"
"1994","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","17,101"
"1995","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","18,702"
"1996","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","19,103"
"1997","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","15,465"
"1998","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","28,091"
"1999","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","53,027"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","106,585"
"2001","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","109,391"
"2002","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","95,711"
"2003","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","82,917"
"2004","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","100,318"
"2005","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","92,044"
"2006","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","94,446"
"2007","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","87,578"
"2008","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","100,353"
"2009","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","101,491"
"2010","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","128,046"
"2011","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","106,069"
"2012","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","102,213"
"2013","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","128,877"
"2014","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","132,556"
"2015","European Union (28 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","112,897"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","13,002"
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","9,403"
"1992","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","12,836"
"1993","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","13,586"
"1994","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","15,521"
"1995","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","16,947"
"1996","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","17,222"
"1997","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","12,201"
"1998","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","11,646"
"1999","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","37,252"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","90,660"
"2001","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","93,112"
"2002","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","80,705"
"2003","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","69,525"
"2004","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","81,309"
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","71,651"
"2006","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","74,166"
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","67,436"
"2008","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","80,301"
"2009","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","80,827"
"2010","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","105,049"
"2011","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","85,839"
"2012","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","80,503"
"2013","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","110,370"
"2014","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","108,740"
"2015","Euro area (19 countries)","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","89,845"
"1990","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","0"
"1991","Belgium","Terajoule","Electrical energy","Gross electricity generation Main activity electricity only - Hydro 1-10 MW","0"
