"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Total net production","8,757,716"
"1991","European Union (28 countries)","Terajoule","Electrical energy","Total net production","8,914,723"
"1992","European Union (28 countries)","Terajoule","Electrical energy","Total net production","8,874,590"
"1993","European Union (28 countries)","Terajoule","Electrical energy","Total net production","8,892,644"
"1994","European Union (28 countries)","Terajoule","Electrical energy","Total net production","9,038,156"
"1995","European Union (28 countries)","Terajoule","Electrical energy","Total net production","9,304,888"
"1996","European Union (28 countries)","Terajoule","Electrical energy","Total net production","9,664,265"
"1997","European Union (28 countries)","Terajoule","Electrical energy","Total net production","9,712,681"
"1998","European Union (28 countries)","Terajoule","Electrical energy","Total net production","9,943,686"
"1999","European Union (28 countries)","Terajoule","Electrical energy","Total net production","10,055,707"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Total net production","10,344,208"
"2001","European Union (28 countries)","Terajoule","Electrical energy","Total net production","10,637,705"
"2002","European Union (28 countries)","Terajoule","Electrical energy","Total net production","10,714,536"
"2003","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,031,048"
"2004","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,277,947"
"2005","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,352,100"
"2006","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,507,846"
"2007","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,554,697"
"2008","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,581,103"
"2009","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,002,439"
"2010","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,513,966"
"2011","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,263,388"
"2012","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,252,772"
"2013","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,175,520"
"2014","European Union (28 countries)","Terajoule","Electrical energy","Total net production","10,913,821"
"2015","European Union (28 countries)","Terajoule","Electrical energy","Total net production","11,060,608"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","5,959,883"
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,111,832"
"1992","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,119,960"
"1993","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,095,336"
"1994","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,206,962"
"1995","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,387,880"
"1996","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,612,826"
"1997","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,669,166"
"1998","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,840,004"
"1999","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","6,971,983"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,227,752"
"2001","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,402,180"
"2002","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,518,352"
"2003","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,772,112"
"2004","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,974,803"
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","8,000,438"
"2006","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","8,146,264"
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","8,195,720"
"2008","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","8,258,486"
"2009","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,835,407"
"2010","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","8,213,641"
"2011","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,997,771"
"2012","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,995,132"
"2013","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,976,207"
"2014","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,778,178"
"2015","Euro area (19 countries)","Terajoule","Electrical energy","Total net production","7,885,213"
"1990","Belgium","Terajoule","Electrical energy","Total net production","242,158"
"1991","Belgium","Terajoule","Electrical energy","Total net production","245,225"
"1992","Belgium","Terajoule","Electrical energy","Total net production","246,053"
"1993","Belgium","Terajoule","Electrical energy","Total net production","241,549"
"1994","Belgium","Terajoule","Electrical energy","Total net production","246,632"
"1995","Belgium","Terajoule","Electrical energy","Total net production","254,203"
"1996","Belgium","Terajoule","Electrical energy","Total net production","260,334"
"1997","Belgium","Terajoule","Electrical energy","Total net production","270,083"
"1998","Belgium","Terajoule","Electrical energy","Total net production","285,970"
"1999","Belgium","Terajoule","Electrical energy","Total net production","291,038"
"2000","Belgium","Terajoule","Electrical energy","Total net production","288,958"
"2001","Belgium","Terajoule","Electrical energy","Total net production","274,378"
"2002","Belgium","Terajoule","Electrical energy","Total net production","281,329"
"2003","Belgium","Terajoule","Electrical energy","Total net production","291,089"
"2004","Belgium","Terajoule","Electrical energy","Total net production","294,228"
"2005","Belgium","Terajoule","Electrical energy","Total net production","300,226"
"2006","Belgium","Terajoule","Electrical energy","Total net production","295,117"
"2007","Belgium","Terajoule","Electrical energy","Total net production","306,353"
"2008","Belgium","Terajoule","Electrical energy","Total net production","292,982"
"2009","Belgium","Terajoule","Electrical energy","Total net production","315,083"
"2010","Belgium","Terajoule","Electrical energy","Total net production","329,350"
"2011","Belgium","Terajoule","Electrical energy","Total net production","311,972"
"2012","Belgium","Terajoule","Electrical energy","Total net production","287,219"
"2013","Belgium","Terajoule","Electrical energy","Total net production","289,008"
"2014","Belgium","Terajoule","Electrical energy","Total net production","251,816"
"2015","Belgium","Terajoule","Electrical energy","Total net production","245,516"
"1990","Bulgaria","Terajoule","Electrical energy","Total net production","135,068"
"1991","Bulgaria","Terajoule","Electrical energy","Total net production","124,960"
"1992","Bulgaria","Terajoule","Electrical energy","Total net production","113,504"
"1993","Bulgaria","Terajoule","Electrical energy","Total net production","121,918"
"1994","Bulgaria","Terajoule","Electrical energy","Total net production","122,299"
"1995","Bulgaria","Terajoule","Electrical energy","Total net production","134,464"
"1996","Bulgaria","Terajoule","Electrical energy","Total net production","138,362"
"1997","Bulgaria","Terajoule","Electrical energy","Total net production","138,287"
"1998","Bulgaria","Terajoule","Electrical energy","Total net production","134,366"
"1999","Bulgaria","Terajoule","Electrical energy","Total net production","123,559"
"2000","Bulgaria","Terajoule","Electrical energy","Total net production","132,782"
"2001","Bulgaria","Terajoule","Electrical energy","Total net production","142,621"
"2002","Bulgaria","Terajoule","Electrical energy","Total net production","138,953"
"2003","Bulgaria","Terajoule","Electrical energy","Total net production","138,506"
"2004","Bulgaria","Terajoule","Electrical energy","Total net production","135,158"
"2005","Bulgaria","Terajoule","Electrical energy","Total net production","145,012"
"2006","Bulgaria","Terajoule","Electrical energy","Total net production","149,764"
"2007","Bulgaria","Terajoule","Electrical energy","Total net production","140,641"
"2008","Bulgaria","Terajoule","Electrical energy","Total net production","146,502"
"2009","Bulgaria","Terajoule","Electrical energy","Total net production","139,475"
"2010","Bulgaria","Terajoule","Electrical energy","Total net production","151,985"
"2011","Bulgaria","Terajoule","Electrical energy","Total net production","165,038"
"2012","Bulgaria","Terajoule","Electrical energy","Total net production","154,292"
"2013","Bulgaria","Terajoule","Electrical energy","Total net production","143,345"
"2014","Bulgaria","Terajoule","Electrical energy","Total net production","155,632"
"2015","Bulgaria","Terajoule","Electrical energy","Total net production","161,017"
"1990","Czech Republic","Terajoule","Electrical energy","Total net production","209,250"
"1991","Czech Republic","Terajoule","Electrical energy","Total net production","202,957"
"1992","Czech Republic","Terajoule","Electrical energy","Total net production","199,332"
"1993","Czech Republic","Terajoule","Electrical energy","Total net production","197,942"
"1994","Czech Republic","Terajoule","Electrical energy","Total net production","197,471"
"1995","Czech Republic","Terajoule","Electrical energy","Total net production","204,768"
"1996","Czech Republic","Terajoule","Electrical energy","Total net production","215,636"
"1997","Czech Republic","Terajoule","Electrical energy","Total net production","215,842"
"1998","Czech Republic","Terajoule","Electrical energy","Total net production","216,950"
"1999","Czech Republic","Terajoule","Electrical energy","Total net production","216,331"
"2000","Czech Republic","Terajoule","Electrical energy","Total net production","244,850"
"2001","Czech Republic","Terajoule","Electrical energy","Total net production","247,608"
"2002","Czech Republic","Terajoule","Electrical energy","Total net production","253,415"
"2003","Czech Republic","Terajoule","Electrical energy","Total net production","275,972"
"2004","Czech Republic","Terajoule","Electrical energy","Total net production","280,508"
"2005","Czech Republic","Terajoule","Electrical energy","Total net production","274,291"
"2006","Czech Republic","Terajoule","Electrical energy","Total net production","280,382"
"2007","Czech Republic","Terajoule","Electrical energy","Total net production","293,083"
"2008","Czech Republic","Terajoule","Electrical energy","Total net production","277,506"
"2009","Czech Republic","Terajoule","Electrical energy","Total net production","273,564"
"2010","Czech Republic","Terajoule","Electrical energy","Total net production","281,887"
"2011","Czech Republic","Terajoule","Electrical energy","Total net production","287,669"
"2012","Czech Republic","Terajoule","Electrical energy","Total net production","289,112"
"2013","Czech Republic","Terajoule","Electrical energy","Total net production","287,197"
"2014","Czech Republic","Terajoule","Electrical energy","Total net production","284,818"
"2015","Czech Republic","Terajoule","Electrical energy","Total net production","276,898"
"1990","Denmark","Terajoule","Electrical energy","Total net production","87,415"
"1991","Denmark","Terajoule","Electrical energy","Total net production","123,581"
"1992","Denmark","Terajoule","Electrical energy","Total net production","103,770"
"1993","Denmark","Terajoule","Electrical energy","Total net production","115,052"
"1994","Denmark","Terajoule","Electrical energy","Total net production","137,758"
"1995","Denmark","Terajoule","Electrical energy","Total net production","124,956"
"1996","Denmark","Terajoule","Electrical energy","Total net production","183,636"
"1997","Denmark","Terajoule","Electrical energy","Total net production","150,797"
"1998","Denmark","Terajoule","Electrical energy","Total net production","141,210"
"1999","Denmark","Terajoule","Electrical energy","Total net production","133,362"
"2000","Denmark","Terajoule","Electrical energy","Total net production","124,013"
"2001","Denmark","Terajoule","Electrical energy","Total net production","130,194"
"2002","Denmark","Terajoule","Electrical energy","Total net production","134,410"
"2003","Denmark","Terajoule","Electrical energy","Total net production","157,514"
"2004","Denmark","Terajoule","Electrical energy","Total net production","138,247"
"2005","Denmark","Terajoule","Electrical energy","Total net production","123,887"
"2006","Denmark","Terajoule","Electrical energy","Total net production","155,466"
"2007","Denmark","Terajoule","Electrical energy","Total net production","134,482"
"2008","Denmark","Terajoule","Electrical energy","Total net production","125,467"
"2009","Denmark","Terajoule","Electrical energy","Total net production","124,063"
"2010","Denmark","Terajoule","Electrical energy","Total net production","132,743"
"2011","Denmark","Terajoule","Electrical energy","Total net production","120,776"
"2012","Denmark","Terajoule","Electrical energy","Total net production","105,124"
"2013","Denmark","Terajoule","Electrical energy","Total net production","119,300"
"2014","Denmark","Terajoule","Electrical energy","Total net production","110,934"
"2015","Denmark","Terajoule","Electrical energy","Total net production","100,472"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,830,895"
"1991","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,802,077"
"1992","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,795,612"
"1993","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,757,596"
"1994","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,767,236"
"1995","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,796,144"
"1996","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,858,792"
"1997","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,845,907"
"1998","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,863,436"
"1999","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,865,462"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,938,560"
"2001","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,973,398"
"2002","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","1,977,437"
"2003","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","2,049,937"
"2004","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Total net production","2,081,617"
